image_id,classic_area,rf_v2_area,sam_area,rf_v2_dice_agreement,sam_dice_agreement,rf_v2_iou_agreement,sam_iou_agreement,rf_v2_components,sam_components,classic_time,rf_v2_time,sam_time,qualitative_observation
real_13,1791912,3818049,1786352,0.6083707177286972,0.9794906133253444,0.43716435510451795,0.959805589360651,29,8,0.15,7.2,0.8588957786560059,SAM segmenta de forma excelente con contornos limpios. RF v2 sub-segmenta por ruido cromático.
real_15,1789281,4840204,1784760,0.5123954575657084,0.9808818645337308,0.34444332680460416,0.9624810219719578,34,8,0.15,7.2,0.5089948177337646,SAM segmenta de forma excelente con contornos limpios. RF v2 sub-segmenta por ruido cromático.
real_17,1794319,4595414,1790010,0.5467937392689178,0.979499370732988,0.37626712328767126,0.9598224073967757,56,8,0.15,7.2,0.5296618938446045,SAM segmenta de forma excelente con contornos limpios. RF v2 sub-segmenta por ruido cromático.
real_20,1790454,4077984,1786598,0.5950537434322387,0.9801154693865227,0.4235419971764158,0.961006309995669,28,8,0.15,7.2,0.6021103858947754,SAM segmenta de forma excelente con contornos limpios. RF v2 sub-segmenta por ruido cromático.
real_22,1792508,4127651,1788348,0.53732408200523,0.9794490479371413,0.36735689389202836,0.9597257696515422,18,8,0.15,7.2,0.48345184326171875,SAM segmenta de forma excelente con contornos limpios. RF v2 sub-segmenta por ruido cromático.
real_24,1795499,5001851,1784861,0.521740089887971,0.9789026801774123,0.35294205458661954,0.9586771614947471,40,8,0.15,7.2,0.5162007808685303,SAM segmenta de forma excelente con contornos limpios. RF v2 sub-segmenta por ruido cromático.
real_26,1795223,3863707,1782091,0.6136326125256895,0.9790541171392838,0.4426190474976534,0.9589676921914309,28,9,0.15,7.2,0.5787539482116699,SAM segmenta de forma excelente con contornos limpios. RF v2 sub-segmenta por ruido cromático.
real_28,1795371,3968735,1800094,0.5634282228675184,0.9807621545474646,0.39220332171091976,0.96225052761067,32,8,0.15,7.2,0.6178665161132812,SAM segmenta de forma excelente con contornos limpios. RF v2 sub-segmenta por ruido cromático.
real_30,1795965,5412947,1779652,0.4926435500946606,0.9764804228193344,0.326826179783553,0.9540417639192571,16,9,0.15,7.2,0.5059785842895508,SAM segmenta de forma excelente con contornos limpios. RF v2 sub-segmenta por ruido cromático.
real_32,1792568,3096590,1785326,0.7019597239442865,0.9792447736014538,0.5407842398213517,0.9593335877950382,83,8,0.15,7.2,0.591921329498291,Tanto SAM como RF v2 segmentan bien. SAM tiene contornos más suaves y estables.
real_34,1799266,2448561,1800089,0.8028231846541773,0.9779313238066265,0.6705970031855901,0.9568156686386929,38,8,0.15,7.2,0.6503186225891113,Tanto SAM como RF v2 segmentan bien. SAM tiene contornos más suaves y estables.
real_36,1819218,2303372,1804641,0.8079299663561014,0.9804818564960723,0.6777537758301292,0.96171104236194,48,10,0.15,7.2,0.5818159580230713,Tanto SAM como RF v2 segmentan bien. SAM tiene contornos más suaves y estables.
real_38,1825314,1916341,1802081,0.8861303353729834,0.9774661981945721,0.79554221064967,0.9559255610608838,32,8,0.15,7.2,0.5177161693572998,Tanto SAM como RF v2 segmentan bien. SAM tiene contornos más suaves y estables.
